model,condition,example_id,raw_output_len_chars,extracted_code_len_chars,flags,warning,error
qwen2.5-coder:7b,gold_location,crn-006057,709,709,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-000130,77,77,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-001159,529,60,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-011920,48,34,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-007011,1843,1833,near_num_predict_char_risk,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-001518,293,275,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-001217,526,244,unclosed_code_fence,multiple_code_fences_used_longest,
qwen2.5-coder:7b,gold_location,crn-002282,262,226,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-012787,27,18,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-014606,429,429,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-002283,268,232,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-014519,1020,1020,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-013319,1128,1128,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-001561,33,19,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-004620,260,260,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-005304,1823,1436,unclosed_code_fence;near_num_predict_char_risk,removed_wrapper_text_or_gold_markers,
qwen2.5-coder:7b,gold_location,crn-002350,382,366,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-005253,202,133,unclosed_code_fence,removed_wrapper_text_or_gold_markers,
qwen2.5-coder:7b,gold_location,crn-003329,34,21,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-013150,904,904,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-008848,831,830,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-001168,236,57,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-000309,565,565,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-000212,244,226,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-001517,299,281,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-013249,360,342,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-004619,260,260,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-001937,302,302,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-013151,904,904,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-012819,300,284,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-010139,492,492,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-004730,2173,2172,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-010891,416,416,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-010470,1954,1944,near_num_predict_char_risk,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-001693,244,205,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-009061,1572,1572,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,gold_location,crn-002663,647,547,unclosed_code_fence,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-007371,671,671,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005338,2060,489,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012630,809,809,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-014766,1940,1934,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009404,1760,1760,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012612,667,667,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-013728,1603,1603,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012006,546,546,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-000505,2019,1283,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-013991,371,371,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005843,1796,917,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-010534,791,791,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009164,1935,1935,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-010103,935,612,unclosed_code_fence,multiple_code_fences_used_longest,
deepseek-coder:6.7b,no_review,crn-004195,2010,2010,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012297,2023,2023,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008931,1830,1830,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005542,1826,1822,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-000517,1936,1935,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-000431,1905,287,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-004182,1831,686,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012653,1863,1862,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-006057,1026,1026,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007346,1978,1426,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-007977,348,347,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009220,2052,2052,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-013613,1984,605,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-010493,2035,269,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-013022,817,817,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012547,1878,602,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-002828,1795,1795,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007754,1519,1519,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008455,2037,2036,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-001087,1828,373,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-007011,1576,1576,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-010908,1846,1845,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005981,549,549,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-003145,1969,718,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014943,1802,792,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-008435,1867,1384,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-006950,1796,546,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-001518,755,272,unclosed_code_fence,multiple_code_fences_used_longest,
deepseek-coder:6.7b,no_review,crn-011723,1804,568,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-001840,1940,844,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-005756,1879,1041,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-009084,1759,1759,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-001702,2049,2032,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-001263,1854,1020,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-009391,1803,599,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-007857,1823,1542,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012669,956,956,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009178,2212,2212,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009822,2053,517,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-009235,1929,685,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012037,690,690,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-014674,1920,1376,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014497,1017,1017,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-011674,2022,943,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012656,1687,615,unclosed_code_fence,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-009504,623,623,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009768,649,649,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-002011,1853,1853,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-013235,1821,1078,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-001378,1892,449,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-007597,2023,1406,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014593,1811,766,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-009218,1803,1248,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-006105,1292,1292,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-004744,1666,1666,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-004737,2147,2147,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-006843,1835,713,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-002381,1882,356,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012096,2108,473,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014606,573,573,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005869,2241,2241,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-014298,1881,301,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-004474,1320,1320,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-000005,1947,1395,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-004965,1900,1900,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-014632,2148,2148,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-002689,779,779,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008372,959,959,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-000497,1897,1276,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-010550,1890,1251,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-001851,1674,1658,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008928,1919,1092,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-013757,2160,2160,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005417,1876,353,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-006783,1708,1707,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005427,1842,1145,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014699,2003,907,near_num_predict_char_risk,multiple_code_fences_used_longest,
deepseek-coder:6.7b,no_review,crn-010476,1762,1762,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012839,1516,1516,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-001880,846,846,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-001631,799,797,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-010683,1836,435,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-002883,629,629,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-013372,1803,316,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-005544,1710,1708,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-004346,1858,462,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-002026,1827,1819,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007930,1971,550,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-000813,2105,454,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-002027,1879,1879,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005982,552,552,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-011333,1920,1919,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-010379,1820,441,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-000955,1083,1083,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007468,728,728,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-010324,733,733,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-011121,1891,1891,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-005064,1769,238,unclosed_code_fence,multiple_code_fences_used_longest,
deepseek-coder:6.7b,no_review,crn-012645,1923,1421,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-003182,1859,334,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014686,1890,1286,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-006104,1292,1292,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-010435,1849,259,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-007831,1262,1262,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-002308,1248,579,unclosed_code_fence,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-006624,728,728,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007392,552,552,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-013252,1997,1232,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012761,1897,533,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014423,1941,1188,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-006918,1848,712,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-009128,564,564,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012336,1758,1758,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008803,1818,1122,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-011301,1826,678,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-011375,1803,1803,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-012024,2080,604,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012114,596,596,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-006672,697,697,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-002193,1894,1894,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008638,1838,1838,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007339,448,448,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-008932,1923,1421,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-008374,1025,1025,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007277,1847,700,near_num_predict_char_risk,multiple_code_fences_used_longest,
deepseek-coder:6.7b,no_review,crn-011827,697,697,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-003401,1805,822,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-013909,557,557,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-011518,419,419,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007049,1816,1173,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-011064,2012,1196,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-002104,1972,1208,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-012398,1906,910,near_num_predict_char_risk,extracted_from_code_fence,
deepseek-coder:6.7b,no_review,crn-014472,1943,1943,near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-014618,2019,2019,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-007350,596,596,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-009072,1208,1208,unclosed_code_fence,no_code_fence_used_raw_text,
deepseek-coder:6.7b,no_review,crn-000602,1866,1866,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
